model,variable,n,events,hazard_ratio,lower_95ci,upper_95ci,wald_p,log_likelihood,aic_partial,ph_test_p,label
univariable_rank_per_iqr,mutation_rank_per_iqr,35,27,2.377723767148254,1.121106451643933,5.042848789757277,0.0239470061911268,-73.42801850896927,148.85603701793855,0.8338138934227585,Rank per IQR
univariable_count_per_iqr,mutation_count_per_iqr,35,27,2.4289572349989834,1.317644800273582,4.477559694561788,0.0044560803224431,-72.37517992372807,146.75035984745614,,Count per 34-mutation IQR
adjusted_first_line_and_log2_dose,mutation_rank_per_iqr,35,27,2.472395351136936,1.1783869759521002,5.187378082980446,0.0166606697751846,-70.17260566327363,146.34521132654726,,"Rank per IQR, adjusted"
